Time,MVAmin_x_deg,MVAmin_y_deg,MVAmin_z_deg
2019-08-02/02:02:04,37.60291646,127.6329571,89.11570238
2019-08-02/02:02:19,37.60291646,127.6329571,89.11570238
2019-08-02/02:02:34,37.60291646,127.6329571,89.11570238
2019-08-02/02:02:49,37.60291646,127.6329571,89.11570238
2019-08-02/02:03:04,37.48801196,127.5229031,89.27404847
2019-08-02/02:03:19,37.66883475,127.6993337,89.12918098
2019-08-02/02:03:34,37.68098245,127.7111065,89.11785728
2019-08-02/02:03:49,37.67793598,127.7082056,89.12223038
2019-08-02/02:04:04,37.6901146,127.7204379,89.12379272
2019-08-02/02:04:19,37.68355113,127.7136074,89.11582379
2019-08-02/02:04:34,37.71770882,127.7479926,89.12248891
2019-08-02/02:04:49,37.68441014,127.715018,89.13241776
2019-08-02/02:05:04,37.73093525,127.7606108,89.10433556
2019-08-02/02:05:19,37.71958047,127.7507214,89.14860511
2019-08-02/02:05:34,37.70483497,127.7344163,89.10167363
2019-08-02/02:05:49,37.77249999,127.8031796,89.13423422
2019-08-02/02:06:04,37.6756745,127.7060816,89.12637796
2019-08-02/02:06:19,37.8001982,127.8307117,89.12907615
2019-08-02/02:06:34,37.73104108,127.7628407,89.16916235
2019-08-02/02:06:49,37.73893506,127.7679493,89.085007
2019-08-02/02:07:04,37.81006314,127.8417598,89.16559586
2019-08-02/02:07:19,37.70053912,127.7295463,89.08497287
2019-08-02/02:07:34,37.84619528,127.876091,89.11036071
2019-08-02/02:07:49,37.72576954,127.7576851,89.17286131
2019-08-02/02:08:04,37.80326003,127.8318796,89.07339499
2019-08-02/02:08:19,37.81709289,127.8493079,89.18207499
2019-08-02/02:08:34,37.72825798,127.7578111,89.10074583
2019-08-02/02:08:49,37.88405646,127.91455,89.12812758
2019-08-02/02:09:04,37.72636445,127.7580873,89.16675408
2019-08-02/02:09:19,37.85338887,127.8820141,89.0733368
2019-08-02/02:09:34,37.81228544,127.8449008,89.19506309
2019-08-02/02:09:49,37.76815328,127.7972029,89.08590233
2019-08-02/02:10:04,37.90247915,127.9336955,89.15020456
2019-08-02/02:10:19,37.76927103,127.7997544,89.12829188
2019-08-02/02:10:34,37.83973334,127.8696504,89.1110203
2019-08-02/02:10:49,37.7982048,127.8309176,89.19830036
2019-08-02/02:11:04,37.82483669,127.8535469,89.0758907
2019-08-02/02:11:19,37.85402261,127.8853862,89.15497749
2019-08-02/02:11:34,37.75996809,127.7901884,89.12040601
2019-08-02/02:11:49,37.93717232,127.9660842,89.08120134
2019-08-02/02:12:04,37.80832223,127.8396161,89.15298953
2019-08-02/02:12:19,37.88025121,127.9072432,89.02763403
2019-08-02/02:12:34,37.91500152,127.9458196,89.1378828
2019-08-02/02:12:49,37.81070613,127.8388562,89.06004677
2019-08-02/02:13:04,37.97337231,128.0019739,89.07214591
2019-08-02/02:13:19,37.82541447,127.8556588,89.12085521
2019-08-02/02:13:34,37.93234783,127.9591559,89.02239236
2019-08-02/02:13:49,37.91899531,127.9497096,89.13469377
2019-08-02/02:14:04,37.84843754,127.8775213,89.08654598
2019-08-02/02:14:19,37.99438721,128.023225,89.07882484
2019-08-02/02:14:34,37.84886881,127.878627,89.10627344
2019-08-02/02:14:49,37.97194306,127.9989606,89.02792034
2019-08-02/02:15:04,37.93003817,127.9606748,89.13228358
2019-08-02/02:15:19,37.89771484,127.9249947,89.03544372
2019-08-02/02:15:34,38.01265334,128.0419158,89.09104331
2019-08-02/02:15:49,37.87673492,127.9060737,89.09383693
2019-08-02/02:16:04,38.01105848,128.0383008,89.03390606
2019-08-02/02:16:19,37.95169825,127.9821811,89.12752942
2019-08-02/02:16:34,37.97035299,127.9976069,89.03440612
2019-08-02/02:16:49,38.10900807,128.1388577,89.10791222
2019-08-02/02:17:04,38.03168974,128.0611541,89.09686327
2019-08-02/02:17:19,38.22873873,128.2568202,89.05631834
2019-08-02/02:17:34,38.22967867,128.2607744,89.14519722
2019-08-02/02:17:49,38.35321795,128.3812894,89.05552072
2019-08-02/02:18:04,38.50403697,128.5344629,89.12366062
2019-08-02/02:18:19,38.58735696,128.6176339,89.11884973
2019-08-02/02:18:34,38.94564562,128.9754314,89.10284763
2019-08-02/02:18:49,39.1002495,129.1332072,89.20189552
2019-08-02/02:19:04,39.37826584,129.4087211,89.12151452
2019-08-02/02:19:19,39.65030181,129.6839507,89.22362114
2019-08-02/02:19:34,39.73838804,129.7713938,89.20163375
2019-08-02/02:19:49,40.12974841,130.1628403,89.20348279
2019-08-02/02:20:04,40.26050793,130.2962633,89.29784686
2019-08-02/02:20:19,40.51268291,130.5460086,89.21043572
2019-08-02/02:20:34,40.72791168,130.7642726,89.32015981
2019-08-02/02:20:49,40.78071086,130.8159275,89.27664493
2019-08-02/02:21:04,41.12410514,131.1595515,89.28450962
2019-08-02/02:21:19,41.18999518,131.2275605,89.36806212
2019-08-02/02:21:34,41.46095979,131.4961957,89.27610623
2019-08-02/02:21:49,41.67895846,131.7173215,89.40168519
2019-08-02/02:22:04,41.74773529,131.7846472,89.3403457
2019-08-02/02:22:19,42.06910576,132.1065501,89.36176354
2019-08-02/02:22:34,42.04813586,132.0878554,89.46432996
2019-08-02/02:22:49,42.30468304,132.3407172,89.30499701
2019-08-02/02:23:04,42.44517621,132.4850355,89.47083382
2019-08-02/02:23:19,42.45821536,132.496296,89.38839361
2019-08-02/02:23:34,42.74878545,132.787595,89.42059233
2019-08-02/02:23:49,42.6966596,132.7368408,89.48684365
2019-08-02/02:24:04,42.9519596,132.9898484,89.37964857
2019-08-02/02:24:19,43.04545267,133.0863905,89.52672797
2019-08-02/02:24:34,43.05776158,133.0966685,89.42480891
2019-08-02/02:24:49,43.37835193,133.4183285,89.47600692
2019-08-02/02:25:04,43.31556457,133.3566346,89.53391128
2019-08-02/02:25:19,43.59041857,133.6293608,89.42609389
2019-08-02/02:25:34,43.67404111,133.7159538,89.58326321
2019-08-02/02:25:49,43.68863879,133.7296206,89.5288214
2019-08-02/02:26:04,44.00514811,134.0460611,89.52490422
2019-08-02/02:26:19,43.93019518,133.9721083,89.58320277
2019-08-02/02:26:34,44.24149721,134.2814677,89.47533505
2019-08-02/02:26:49,44.32224458,134.3648962,89.63137693
2019-08-02/02:27:04,44.3061329,134.3468364,89.51342216
2019-08-02/02:27:19,44.56731331,134.6091354,89.57746015
2019-08-02/02:27:34,44.45577474,134.4984261,89.63133477
2019-08-02/02:27:49,44.70692126,134.748095,89.53930587
2019-08-02/02:28:04,44.76523058,134.8087101,89.69321387
2019-08-02/02:28:19,44.76212518,134.8041697,89.59125724
2019-08-02/02:28:34,44.96281094,135.0055918,89.64035057
2019-08-02/02:28:49,44.80610722,134.849333,89.67314869
2019-08-02/02:29:04,44.93018921,134.9721271,89.58457598
2019-08-02/02:29:19,44.89464132,134.9380635,89.68857458
2019-08-02/02:29:34,44.83651783,134.8788298,89.60844901
2019-08-02/02:29:49,44.93396439,134.9767263,89.63901339
2019-08-02/02:30:04,44.82724656,134.8702349,89.65530892
2019-08-02/02:30:19,44.88654183,134.9289036,89.61172753
2019-08-02/02:30:34,44.86155128,134.9045303,89.65461882
2019-08-02/02:30:49,44.84197741,134.8845791,89.62787584
2019-08-02/02:31:04,44.8483678,134.8911118,89.63775752
2019-08-02/02:31:19,44.83883269,134.881467,89.63012269
2019-08-02/02:31:34,44.81633252,134.8591849,89.64544888
2019-08-02/02:31:49,44.79666501,134.8390608,89.61398263
2019-08-02/02:32:04,44.80993341,134.8524395,89.62137016
2019-08-02/02:32:19,44.68727292,134.7299415,89.63249862
2019-08-02/02:32:34,44.71357151,134.7557329,89.59869873
2019-08-02/02:32:49,44.52676804,134.5697712,89.65641944
2019-08-02/02:33:04,44.41858866,134.4600521,89.55601768
2019-08-02/02:33:19,44.32178972,134.3643932,89.62805512
2019-08-02/02:33:34,44.02175859,134.0635047,89.57294619
2019-08-02/02:33:49,44.00049921,134.0416956,89.54073491
2019-08-02/02:34:04,43.66383572,133.7061141,89.60649838
2019-08-02/02:34:19,43.55133851,133.5912177,89.47103943
2019-08-02/02:34:34,43.38586271,133.4277261,89.58034823
2019-08-02/02:34:49,43.06790065,133.1080139,89.48310816
2019-08-02/02:35:04,43.07173084,133.110994,89.44143085
2019-08-02/02:35:19,42.67252187,132.7138549,89.54922674
2019-08-02/02:35:34,42.6158179,132.6540632,89.39543195
2019-08-02/02:35:49,42.38598121,132.4268672,89.52436468
2019-08-02/02:36:04,42.10659192,132.1447282,89.39120051
2019-08-02/02:36:19,42.08420479,132.1233551,89.43701378
2019-08-02/02:36:34,41.68227394,131.7215167,89.44182506
2019-08-02/02:36:49,41.68333757,131.7201205,89.33524834
2019-08-02/02:37:04,41.40513348,131.4447413,89.45963397
2019-08-02/02:37:19,41.22876767,131.2648185,89.30722715
2019-08-02/02:37:34,41.18575643,131.2240072,89.3974443
2019-08-02/02:37:49,40.84107386,130.8782596,89.35292728
2019-08-02/02:38:04,40.89667634,130.9324501,89.2972427
2019-08-02/02:38:19,40.59289488,130.631041,89.39385659
2019-08-02/02:38:34,40.52064416,130.5549982,89.24603428
2019-08-02/02:38:49,40.43266199,130.4700824,89.36335409
2019-08-02/02:39:04,40.17103834,130.2062109,89.2763352
2019-08-02/02:39:19,40.24507335,130.2802321,89.27565781
2019-08-02/02:39:34,39.94984843,129.9863957,89.32908177
2019-08-02/02:39:49,39.96953823,130.002777,89.20883151
2019-08-02/02:40:04,39.83675439,129.8733199,89.33005778
2019-08-02/02:40:19,39.67327091,129.7067131,89.21650767
2019-08-02/02:40:34,39.730797,129.7656093,89.26429058
2019-08-02/02:40:49,39.46928106,129.5042573,89.27090193
2019-08-02/02:41:04,39.54893662,129.5816346,89.19195636
2019-08-02/02:41:19,39.38312362,129.4188101,89.29735264
2019-08-02/02:41:34,39.31532054,129.3475741,89.1781285
2019-08-02/02:41:49,39.33738998,129.3719959,89.25793309
2019-08-02/02:42:04,39.13109741,129.1646714,89.2225465
2019-08-02/02:42:19,39.23350374,129.2660888,89.18918124
2019-08-02/02:42:34,39.05256421,129.0873124,89.26382588
2019-08-02/02:42:49,39.06110575,129.0926757,89.15707777
2019-08-02/02:43:04,39.03721089,129.0715723,89.25011916
2019-08-02/02:43:19,38.89776635,128.9301606,89.18401347
2019-08-02/02:43:34,39.00302003,129.0349291,89.16803466
2019-08-02/02:43:49,38.80845876,128.8425031,89.23971514
2019-08-02/02:44:04,38.89052776,128.9218851,89.1509625
2019-08-02/02:44:19,38.7981646,128.8321331,89.23711847
2019-08-02/02:44:34,38.74812271,128.7794177,89.14950282
2019-08-02/02:44:49,38.79377365,128.8267619,89.20388122
2019-08-02/02:45:04,38.64508775,128.6775924,89.18845009
2019-08-02/02:45:19,38.73372768,128.7651545,89.15367953
2019-08-02/02:45:34,38.61653782,128.6499161,89.21752726
2019-08-02/02:45:49,38.61560306,128.6464571,89.13631467
2019-08-02/02:46:04,38.61856448,128.6514748,89.20187385
2019-08-02/02:46:19,38.50820244,128.5398347,89.16093855
2019-08-02/02:46:34,38.58648394,128.6180044,89.15713522
2019-08-02/02:46:49,38.46157865,128.4942384,89.19415034
2019-08-02/02:47:04,38.49346757,128.5241088,89.130244
2019-08-02/02:47:19,38.45814488,128.4907901,89.19368658
2019-08-02/02:47:34,38.38924672,128.4202265,89.14101506
2019-08-02/02:47:49,38.44160328,128.4732225,89.16076465
2019-08-02/02:48:04,38.32475326,128.3567162,89.17209452
2019-08-02/02:48:19,38.37589858,128.4064549,89.12809872
2019-08-02/02:48:34,38.31232105,128.3445995,89.18227088
2019-08-02/02:48:49,38.28489222,128.3154402,89.12819284
2019-08-02/02:49:04,38.29917189,128.3307222,89.15911473
2019-08-02/02:49:19,38.21130946,128.2426377,89.15248909
2019-08-02/02:49:34,38.25837812,128.2890459,89.13194156
2019-08-02/02:49:49,38.18643991,128.2182029,89.16624812
2019-08-02/02:50:04,38.18607867,128.2164513,89.12326379
2019-08-02/02:50:19,38.18008199,128.2114427,89.15362049
2019-08-02/02:50:34,38.12236901,128.1531468,89.13582763
2019-08-02/02:50:49,38.14578979,128.1764801,89.13306276
2019-08-02/02:51:04,38.08614144,128.1173241,89.14843896
2019-08-02/02:51:19,38.09050323,128.1208272,89.12217283
2019-08-02/02:51:34,38.06696673,128.0980066,89.14409572
2019-08-02/02:51:49,38.03568448,128.0661351,89.12621529
2019-08-02/02:52:04,38.04009945,128.07073,89.13165689
2019-08-02/02:52:19,37.99863491,128.0292888,89.13253244
2019-08-02/02:52:34,37.99549712,128.0258385,89.12307975
2019-08-02/02:52:49,37.96824088,127.9988483,89.13124016
2019-08-02/02:53:04,37.94863182,127.9789676,89.12310086
2019-08-02/02:53:19,37.93001522,127.9603841,89.12417186
2019-08-02/02:53:34,37.91239799,127.9426883,89.12187719
2019-08-02/02:53:49,37.88836603,127.9186986,89.12324841
2019-08-02/02:54:04,37.87379903,127.903631,89.10835466
2019-08-02/02:54:19,37.85509248,127.8856067,89.12887245
2019-08-02/02:54:34,37.84255317,127.8725567,89.1135825
2019-08-02/02:54:49,37.83679206,127.8668292,89.11460757
2019-08-02/02:55:04,37.77852405,127.8089038,89.12512387
2019-08-02/02:55:19,37.79597091,127.8254892,89.09943341
2019-08-02/02:55:34,37.77051646,127.8009166,89.12576982
2019-08-02/02:55:49,37.71105727,127.7405897,89.10021184
2019-08-02/02:56:04,37.78356208,127.8136758,89.11711569
2019-08-02/02:56:19,37.62385379,127.6548401,89.14423193