rotate_ang,res_dmxl_x,res_dmxl_y,res_dmxl_z,G11,G12,G13,O1,G21,G22,G23,O2,G31,G32,G33,O3,G1,G2,G3,th1,th2,th3,ph1,ph2,ph3,O1/G1,O2/G2,O3/G3
-15,110.99943158740606,26.719291503166318,154.70123393100397,111.63375516399147,-30.864771413539586,-4.734978252272832,-120373.34396681798,-24.507260724723213,85.32819483578683,26.246631555113268,8919.11239357918,0.022613821472733164,0.15979038003377544,110.60225197526152,-78242.53375265643,115.91871904689742,92.57641346559839,110.60236971398811,92.34103492295051,73.53000648913371,0.08360170216089084,-15.455186287472934,-73.97531213183696,81.94489120002704,-1038.4288659894382,96.34324834687555,-707.4218568280904
-14,131.56790886365937,37.597349044599,178.33731401584248,108.67996135814249,-5.101875409970693,0.6597561494188422,-120866.50959113022,-24.476193630397972,85.32318655667537,26.245303493269148,8912.83834086819,0.028727391186477196,0.1588048159010001,110.60199065127733,-78243.76817853905,108.8016471000458,92.56320097248025,110.60210838974905,89.65256523645793,73.52844581659791,0.08360171043529471,-2.6877216258902665,-73.99369373608702,79.74622598531457,-1110.888601529998,96.28921911978871,-707.4346892449558
-13,192.08937722767774,104.1796069817324,161.21416177601841,108.37912586934975,-30.345500706142644,0.7104553060648116,-123683.3082209559,-24.448357675305488,85.31850983482241,26.244115393052564,8907.237209569634,0.029327169097944954,0.15870402751977183,110.60196495546408,-78243.89125271833,112.54949615192764,92.55119613607495,110.6020827067054,89.6383248055568,73.52701540603843,0.08360625363072373,-15.641925584947677,-74.01013459687478,79.53032831258413,-1098.9236953491024,96.24118954090683,-707.4359662846989
-12,112.2621536998507,166.87608515984368,337.63545983000364,103.64276055242084,-7.383110835723894,-9.337131093856827,-122899.11243275438,-24.556851616187043,85.32562873868206,26.272127788960525,8934.711501749738,0.03085211730214855,0.12102745144117502,110.60515852776881,-78230.84628693262,104.324082347284,92.59441980762288,110.60522904659622,95.13491244566998,73.51684845362125,0.0646997145646493,-4.074647437723274,-73.94409738258564,75.69884122327578,-1178.0512195030485,96.49298003392407,-707.2979004814972
-11,118.69396682954144,228.55809258099939,167.10709204753462,105.80122694148108,-18.749761643529474,11.005017566014985,-126245.6619097589,-24.55162904476741,85.3246870291471,26.271926633271296,8933.670428437401,0.033388566105982065,0.1205701375482906,110.60506090095078,-78231.35076010102,108.0118678462707,92.59211000078656,110.60513165697803,84.15215068466257,73.5165553411116,0.06480846498744736,-10.04944158655297,-73.94716806750587,74.52140039579994,-1168.812876094687,96.48414350166024,-707.3030842974042
-10,259.3084437098933,111.77456466064183,233.924235555975,101.01065722225296,-26.043641960679043,-9.283806534631905,-125961.68473063305,-24.548648183942547,85.32413348510232,26.271823928878092,8933.075051474789,0.03599892062987475,0.1200853292611801,110.60497095446897,-78231.86979127186,104.72637310066648,92.59078040060207,110.60504200192464,95.08584493522343,73.51637816348469,0.06494182004084235,-14.457729731469879,-73.94891791607743,73.31243430234186,-1202.7694744050239,96.47909881334904,-707.3083502821738
-9,177.86592540077885,181.56292159063221,429.49502990561945,99.2713830346779,-5.2619177219961015,-6.8326785298128625,-125989.67103785701,-24.548534858265146,85.32411194257746,26.271820600823748,8933.053432226408,0.03943103882243726,0.11943305164886919,110.60487022539868,-78232.5479205804,99.64527466780629,92.59072955841106,110.60494173696732,93.93185805852002,73.51637100163728,0.0651536184538766,-3.0341453395937417,-73.94898435361003,71.72926625806956,-1264.3817928936087,96.47891829808916,-707.3151225614077
-8,187.40634991189663,231.12514598977918,262.3737346448232,101.478298532414,-12.833805241035417,10.353876752369604,-128678.76405292131,-24.55201970769678,85.32478516904601,26.271902205033157,8933.744941511639,0.04413961200984318,0.11852340345470935,110.60475998370917,-78233.48394190347,102.80931083224819,92.59229709507056,110.6048322956842,84.21997052586036,73.51660536230273,0.06551725823843935,-7.207844085846982,-73.94694330862039,69.57403392543844,-1251.6255873252937,96.48475328718521,-707.3242851881811
-7,219.72377796733016,203.5126341345893,218.54376306795254,99.01820381106671,-27.718900213460678,3.102581114945065,-129421.84451261384,-24.559400174907726,85.32622388085537,26.272027402381497,8935.198422085738,0.05030797410552257,0.11732096561082406,110.60465531158908,-78234.70374886955,102.87160990569045,92.59561567670791,110.60472897528686,88.27171204841396,73.51713218554829,0.06612680874421786,-15.638921347304214,-73.94262318298733,66.7900394552819,-1258.0909799240417,96.4969923984571,-707.3359744532265
-6,252.29850119731964,219.95354365201223,573.1554056042468,95.37923376734665,-22.89841235531838,-10.917504864754463,-128534.96136507147,-24.570840340621967,85.32845740712615,26.272145109231523,8937.451945845554,0.05788565375395172,0.11584224090997423,110.60457735830359,-78236.17757923655,98.69512366329094,92.60074215234236,110.60465316966847,96.35096962430947,73.51799477684236,0.06708387077835617,-13.499934268090186,-73.93592800195339,63.448984056478864,-1302.343586939334,96.51598613693702,-707.3497844545618
-5,147.18260005315895,262.2856922049465,599.6109273347855,94.89676451717902,-10.240225203207888,-12.006835841117633,-128449.21757971021,-24.585781263445423,85.33135658330278,26.27220048658747,8940.38749830061,0.06583053976273136,0.11429993300414179,110.60454806439877,-78237.75303964766,96.19990766605179,92.60739481860075,110.6046267145482,97.1698589122819,73.51917684460878,0.06832832661549541,-6.158904702773292,-73.92718207925834,60.06039933069922,-1335.2322335444294,96.54075158698751,-707.3641977163039
-4,239.54962826882215,164.17473658497718,519.6161161856238,96.29597043599172,-3.992483909378934,-4.1645296212077145,-129376.50252604464,-24.602944494986136,85.33464276866832,26.272158006092187,8943.758274607027,0.07314895535087906,0.11289877541656557,110.60456612725093,-78239.18571571066,96.46863302100822,92.61496866369214,110.60464793624445,92.47421508054549,73.52059045459741,0.06968695575778824,-2.374154788982684,-73.9171290711816,57.060140647386746,-1341.125073243963,96.56925228883925,-707.3770151215514
-3,263.14689677815096,155.40852475870264,494.6151849192113,97.39602777369976,-4.754482760849284,3.4710074510110136,-130441.35445987873,-24.620986908028765,85.33802748790522,26.272014284952046,8947.297937297391,0.07876505749430507,0.11184511252191887,110.60461095367003,-78240.29382011323,97.57376299571254,92.6228409542728,110.60469554895118,87.96137773519114,73.5221237407258,0.0708637196303893,-2.7947312151032913,-73.90655055010232,54.845516308196125,-1336.8486615158054,96.59926045363481,-707.3867292142747
-2,236.53303071651266,200.60456197502094,375.11174779083615,97.71158746689376,-7.828225810036042,7.668758566725682,-131133.9663868366,-24.63877528210402,85.34127609970507,26.27179176108333,8950.790722947762,0.08204014160323145,0.11124700193272428,110.60465191565987,-78240.93614795023,98.32418472882485,92.63050089503909,110.60473828848635,85.52669363408289,73.52366873627076,0.0716043419877111,-4.5805044250493765,-73.89610707485811,53.59273406424788,-1333.689841909192,96.6289789697891,-707.3922632851155
-1,212.2118189938098,235.24849540959696,359.8296722408632,97.62076519362648,-9.936490382245804,9.185554056928162,-131426.9659018439,-24.65544122493257,85.34422234793946,26.27152686293423,8954.061677472859,0.08315879923725156,0.11104928287542937,110.60466960173909,-78241.1490686898,98.5541579104523,92.63757441708256,110.6047566112732,84.65209327900938,73.52513353228196,0.07186777147156691,-5.811928909655651,-73.88630686080754,53.17244615262018,-1333.5506962705754,96.65690983184585,-707.3940711580138
1,227.80989130250362,203.0220949111686,378.61856956065236,97.45193858385936,-7.782174848916403,7.663065650548645,-131104.08000681174,-24.849724653518056,85.37596502112093,26.255665578117256,8718.319209228013,0.6050499152618741,0.04831175073778119,110.6108101671511,-77529.65876428339,98.06204747146586,92.71420707525498,110.61247554077593,85.51804771064683,73.5493590607427,0.3144068216000743,-4.565753912486526,-73.77171338021802,4.565241713178089,-1336.9502614654305,94.03433933433159,-700.9124276917845
2,255.6845801437422,157.3887295740893,496.14856203556417,97.19301273755578,-4.719754610859219,3.465774128012029,-130499.46921668154,-24.956029952396616,85.39100679679598,26.251415001570678,8575.577371754125,0.8449385223558802,0.019448974235425406,110.61198743441608,-77203.67367580654,97.36924257123398,92.75540017885785,110.61521623881852,87.96017531494677,73.5596098859186,0.4377761712864438,-2.7801356111673705,-73.7086837429004,1.3186135621545372,-1340.2535109709818,92.4536722952848,-697.9480427821396
3,230.73758646681594,160.83355189360822,497.62983049252813,96.36851447291734,-4.012038452391326,-4.164867041464854,-129645.0167260971,-25.00678152763744,85.39769166016946,26.251174351047492,8506.924598587277,0.9580191519851479,0.005327020551161107,110.61125699901213,-77050.10250935721,96.5418725306974,92.77515302097571,110.61540581661411,92.47253734092878,73.56336448201861,0.49624180766352577,-2.383975732448383,-73.67852484953272,0.31858721067104934,-1342.8889799591768,91.69399695480891,-696.5585122663313
4,131.77534788521535,264.0864028676828,530.3020829030062,95.10435467640367,-10.288319644424586,-12.001659742874836,-128856.38370252762,-25.01403896522022,85.39881672970508,26.25004203384398,8497.409310397992,1.0140447701637685,-0.0003037694639997923,110.60998996227707,-76973.22474668713,96.40916780112138,92.77782467252553,110.6146381196594,97.15111468489802,73.56458028474775,0.525258708909999,-6.174205227446614,-73.674243907779,-0.017163648217139487,-1336.5573694022573,91.58879657279081,-695.8683412535323
5,253.5035997472261,220.767926772075,484.60190109801414,94.96494044858147,-22.820611294786584,-10.920523523283524,-128402.84134105103,-25.003956668065108,85.39775995547163,26.248198659425253,8511.627663201092,1.0320190216121885,-0.0006480741161190018,110.60924941044999,-76947.88140145747,98.27704741338619,92.7736125594745,110.61406383830268,96.37986978037353,73.56499986220408,0.5345722036737748,-13.512290552278944,-73.68028282054635,-0.03597986665631785,-1306.5394689865443,91.74621348009416,-695.6428389968662
6,238.81155287454345,215.1559846018708,394.4925117593146,98.16723270794364,-27.53863812211896,3.056353161451543,-127439.38980109396,-24.990308414152885,85.39593148816881,26.246889174820343,8530.506973278529,1.0320132505004234,0.0003789272022510556,110.60921467621195,-76947.73713247033,102.0025659569606,92.7678814068846,110.61402905048317,88.2829613222825,73.56479894416813,0.5345693129828429,-15.670284977747245,-73.68838647016172,0.021037451258982192,-1249.3743525517416,91.95539279228869,-695.6417535189152
7,185.17887391701387,239.55044389838724,404.9534024465352,103.25684389403068,-13.160553577579355,10.268452072582708,-123956.03601171552,-24.979119407721157,85.39416784925984,26.246095779288243,8545.920484935337,1.0299540638351807,0.0010678140711168904,110.60922627203674,-76950.37088616082,104.59740479281255,92.76301985548082,110.6140214575551,84.36613062384727,73.56442409726738,0.5335029378608482,-7.2634454513530535,-73.69498285577444,0.05940188966415634,-1185.077548121282,92.12637210657184,-695.6656115760901
8,178.05459396425346,184.61879288777814,517.1793251237937,104.74051931709124,-6.257427641627027,-6.83247276299809,-118872.67526829068,-24.970709015109104,85.39231640733503,26.247228527865676,8557.033737396974,1.0552093062616272,-0.005333570291838119,110.60839767642629,-76916.65168831877,105.14948631144745,92.75937157787172,110.61343106365274,93.72562788361694,73.56302985170929,0.5465948262322569,-3.4189114989052607,-73.69984657065305,-0.28959985782935505,-1130.5112315641356,92.24980281602407,-695.3644864705166
9,246.5097329505174,158.52168900516338,468.6392553646486,104.78355458223147,-26.528675562854932,-9.2455192097269,-117387.7341643756,-24.963299567273715,85.39042898698708,26.249666549042615,8566.424961480394,1.0854777520198795,-0.014458873743962031,110.60772689425318,-76876.83949412752,108.48430100002547,92.75632960506285,110.61305402041323,94.88893403331613,73.560905352968,0.5623188894686383,-14.207379359173286,-73.7040854947731,-0.7631510175648892,-1082.071166816552,92.35407435756082,-695.0069336295531
10,96.81450900594065,234.34412548512137,256.18385856005017,110.15579680883462,-19.39013951791529,10.827257831028373,-116642.64533930726,-24.97870571760786,85.3933144257905,26.251007085432825,8544.99388079521,1.0945309478273404,-0.01764138092248091,110.6076524099392,-76865.18331972338,112.37217891121026,92.76351255180143,110.61306921359702,84.47087278518038,73.5613511205097,0.5670322081864376,-9.983201176021744,-73.69508425172008,-0.9233993429702488,-1038.0028799786046,92.11589390843167,-694.9014602541631
11,121.51904931963897,173.98677284616505,412.7083973541566,113.11488287382305,-9.035476356380013,-9.28737375831389,-109510.99005576794,-25.020877262630005,85.40187335438952,26.24990859420661,8487.756290373822,1.1094451357713462,-0.01843979966344822,110.60728205721695,-76843.66941179414,113.85460847884914,92.78244431267687,110.61284759294576,94.67894301312397,73.56550772482856,0.5747647858989889,-4.567018714931266,-73.67057189823029,-0.952210605156119,-961.849428133705,91.48019707014917,-694.7083551684532
12,162.36415004766016,118.74347138617554,266.5506757413011,116.87881054393242,-31.43321589628574,0.5878873520116022,-106176.62123434164,-25.06194467434627,85.41026978691104,26.2474450248456,8432.3869144402,1.152343393785213,-0.023085353297249145,110.6067768694633,-76783.54410749607,121.03325587327481,92.80055832949074,110.61278189107252,89.72169965762366,73.57039234944205,0.5970273474225509,-15.0528747914566,-73.6467231128344,-1.1476756092279523,-877.2516319441288,90.86569161039738,-694.1652022015841
13,132.93032172208078,71.9954549669399,277.69056431866574,121.47405238471539,-7.399444884223993,0.4705778066389797,-102964.69476345029,-25.09928389253793,85.41602144047965,26.250501458240947,8380.31229896135,1.0917523266329208,-0.017639344728353934,110.60782909112375,-76869.51226444457,121.70011762866686,92.81680665400961,110.61321842592065,89.77845387526725,73.57138294018594,0.565592264446306,-3.4857959863407393,-73.62470693500647,-0.9256422474161318,-846.0525492474677,90.28873757961082,-694.9396587345955
14,87.33342706233465,61.978695144976115,230.49355272009026,125.08368629596364,-32.66473585937655,-4.814875161552172,-95735.90450459575,-25.12219978176149,85.42195924619419,26.242271163773932,8351.332042242137,1.1798112427877847,-0.022301803404539106,110.607484206318,-76745.60930082726,129.36806626432667,92.82614308031029,110.6137785919545,92.13295107127752,73.57837830319001,0.6112399748813315,-14.635544340800026,-73.61163623989222,-1.0829249657390738,-740.0273287612322,89.96745706666735,-693.815999035127
